Título,Detalles,Precio_limpio,Colonia_limpia,M2_Construccion,Precio_por_M2,Precio_Promedio_M2_Colonia,Calificacion_Rentabilidad
Casa en venta La Calma,"Superficie: 246.0m², Construcción: 218.0m², Recámaras: 4.0, Baños: 2.0, Estacionamientos: 3.0",6990000.0,calma zapopan,218.0,32064.22018348624,28696.20666573805,Baja Rentabilidad
Casa en Venta en Col. Camino Real,"Superficie: 261.6m², Construcción: 327.0m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 3.0",12685000.0,camino real zapopan,327.0,38792.04892966361,33349.88809524613,Baja Rentabilidad
"Casa en Venta en Camino Real, Zapopan","Superficie: 302.0m², Construcción: 439.0m², Recámaras: 6.0, Baños: 3.0, Estacionamientos: 3.0",9000000.0,camino real zapopan,439.0,20501.13895216401,33349.88809524613,Muy Alta Rentabilidad
"CASA EN VENTA CAMINO REAL,","Superficie: 232.0m², Construcción: 262.0m², Recámaras: 3.0, Baños: 3.0, Estacionamientos: 4.0",9050000.0,camino real zapopan,262.0,34541.98473282443,33349.88809524613,Rentabilidad Promedio
Casa en venta en la colonia Camino real,"Superficie: 680.0m², Construcción: 300.0m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 6.0",11800000.0,camino real zapopan,300.0,39333.333333333336,33349.88809524613,Baja Rentabilidad
HERMOSA CASA FINES COMERCIALES EN CAMINO REAL,"Superficie: 651.4m², Construcción: 475.0m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 5.0",18000000.0,camino real zapopan,475.0,37894.73684210526,33349.88809524613,Baja Rentabilidad
VENTA CASA EN CAMINO REAL ZAPOPAN,"Superficie: 300.0m², Construcción: 397.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 2.0",9390000.0,camino real zapopan,397.0,23652.392947103275,33349.88809524613,Muy Alta Rentabilidad
Casa en venta en Camino Real,"Superficie: 208.0m², Construcción: 209.0m², Recámaras: 3.0, Baños: 3.0, Estacionamientos: 2.0",8500000.0,camino real zapopan,209.0,40669.85645933014,33349.88809524613,Muy Baja Rentabilidad
CASA EN VENTA EN LA CIMA,"Superficie: 140.0m², Construcción: 191.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 2.0",6000000.0,camino real zapopan,191.0,31413.612565445026,33349.88809524613,Alta Rentabilidad
Casa en San Miguel de la Cañada,"Superficie: 714.0m², Construcción: 467.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 4.0",38500000.0,capullo zapopan,467.0,82441.11349036402,64226.64978612071,Muy Baja Rentabilidad
Casa en venta San Miguel de la Cañada Zapopan.,"Superficie: 804.52m², Construcción: 401.25m², Recámaras: 3.0, Baños: 4.0, Estacionamientos: 4.0",29500000.0,capullo zapopan,401.25,73520.2492211838,64226.64978612071,Baja Rentabilidad
CASA EN VENTA EN SAN MIGUEL DE LA CAÑADA,"Superficie: 714.0m², Construcción: 467.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 4.0",33900000.0,capullo zapopan,467.0,72591.00642398286,64226.64978612071,Baja Rentabilidad
"Casa en Venta en colonia El Capullo, Zona Seattle, Zapopan, Jalisco","Superficie: 1075.0m², Construcción: 614.0m², Recámaras: 3.0, Baños: 4.0, Estacionamientos: 3.0",33000000.0,capullo zapopan,614.0,53745.92833876221,64226.64978612071,Alta Rentabilidad
VENTA DE CASA EN SEATTLE,"Superficie: 525.0m², Construcción: 515.0m², Recámaras: 5.0, Baños: 5.0, Estacionamientos: 4.0",20000000.0,capullo zapopan,515.0,38834.95145631068,64226.64978612071,Muy Alta Rentabilidad
"HERMOSA CASA EN VENTA EN EL CERRO DEL TESORO, SAN PEDRO TLAQUEPAQUE, JALISCO","Superficie: 300.0m², Construcción: 339.0m², Recámaras: 3.0, Baños: 3.0, Estacionamientos: 2.0",7950000.0,cerro tesoro san pedro tlaquepaque,339.0,23451.327433628318,26119.306885030623,Alta Rentabilidad
CASA EN VENTA EN CERRO DEL TESORO,"Superficie: 387.0m², Construcción: 280.0m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 3.0",8200000.0,cerro tesoro san pedro tlaquepaque,280.0,29285.714285714286,26119.306885030623,Baja Rentabilidad
"RESIDENCIA EN VENTA FRACC. CERRO DEL TESORO $16,900,000 EN VENTA","Superficie: 517.0m², Construcción: 654.0m², Recámaras: 8.0, Baños: 8.0, Estacionamientos: 6.0",16900000.0,cerro tesoro san pedro tlaquepaque,654.0,25840.97859327217,26119.306885030623,Rentabilidad Promedio
Casa en venta cerro del Tesoro 5 recamaras 8 estacionamientos estudio San Pedro Tlaquepaque,"Superficie: 450.0m², Construcción: 530.0m², Recámaras: 5.0, Baños: 3.0, Estacionamientos: 8.0",12500000.0,cerro tesoro san pedro tlaquepaque,530.0,23584.905660377357,26119.306885030623,Alta Rentabilidad
CASA MUY AMPLIA EN EL CERRO DEL TESORO,"Superficie: 300.0m², Construcción: 300.0m², Recámaras: 4.0, Baños: 2.0, Estacionamientos: 2.0",7500000.0,cerro tesoro san pedro tlaquepaque,300.0,25000.0,26119.306885030623,Rentabilidad Promedio
RESIDENCIA EN VENTA CERRO DEL TESORO  OPORTUNIDAD,"Superficie: 300.0m², Construcción: 240.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 2.0",6700000.0,cerro tesoro san pedro tlaquepaque,240.0,27916.666666666668,26119.306885030623,Baja Rentabilidad
Amplia casa en Av del Tesoro,"Superficie: 532.0m², Construcción: 450.0m², Recámaras: 5.0, Baños: 3.0, Estacionamientos: 8.0",12490000.0,cerro tesoro san pedro tlaquepaque,450.0,27755.555555555555,26119.306885030623,Baja Rentabilidad
"Casa en Venta Fracc. Chapalita 			$10,500,000","Superficie: 410.0m², Construcción: 323.0m², Recámaras: 5.0, Baños: 3.0, Estacionamientos: 2.0",10500000.0,chapalita guadalajara,323.0,32507.739938080496,33928.55342034676,Rentabilidad Promedio
"CASA EN VENTA EN CHAPALITA, GUADALAJARA","Superficie: 1049.0m², Construcción: 776.0m², Recámaras: 6.0, Baños: 4.0, Estacionamientos: 7.0",31990000.0,chapalita guadalajara,776.0,41224.22680412371,33928.55342034676,Muy Baja Rentabilidad
CASA EN VENTA EN CHAPALITA,"Superficie: 248.0m², Construcción: 210.0m², Recámaras: 2.0, Baños: 2.0, Estacionamientos: 3.0",7850000.0,chapalita guadalajara,210.0,37380.95238095238,33928.55342034676,Baja Rentabilidad
CASA EN VENTA CHAPALITA GUADALAJARA JALISCO,"Superficie: 288.0m², Construcción: 229.0m², Recámaras: 2.0, Baños: 2.0, Estacionamientos: 2.0",7790000.0,chapalita guadalajara,229.0,34017.467248908295,33928.55342034676,Rentabilidad Promedio
VENTA CASA EN CHAPALITA ORIENTE,"Superficie: 201.0m², Construcción: 370.0m², Recámaras: 3.0, Baños: 3.0, Estacionamientos: 2.0",12900000.0,chapalita guadalajara,370.0,34864.86486486487,33928.55342034676,Rentabilidad Promedio
"Casa de oportunidad, sobre avenida Chapalita, abajo de valor de avalúo.","Superficie: 350.0m², Construcción: 376.0m², Recámaras: 5.0, Baños: 3.0, Estacionamientos: 3.0",11250000.0,chapalita guadalajara,376.0,29920.212765957447,33928.55342034676,Alta Rentabilidad
"CHAPALITA , Remodelada al 100%","Superficie: 233.0m², Construcción: 350.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 2.0",9295000.0,chapalita guadalajara,350.0,26557.14285714286,33928.55342034676,Muy Alta Rentabilidad
Casa en Venta en Chapalita,"Superficie: 1042.0m², Construcción: 776.3m², Recámaras: 5.0, Baños: 4.0, Estacionamientos: 7.0",32000000.0,chapalita guadalajara,776.3,41221.177379878915,33928.55342034676,Muy Baja Rentabilidad
Casa remodelada en Chapalita,"Superficie: 170.0m², Construcción: 279.0m², Recámaras: 3.0, Baños: 4.0, Estacionamientos: 4.0",10890000.0,chapalita guadalajara,279.0,39032.25806451613,33928.55342034676,Baja Rentabilidad
Casa en Venta ubicada en Chapalita - Juan Bernardino,"Superficie: 125.0m², Construcción: 166.24m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 1.0",5700000.0,chapalita guadalajara,166.24,34287.776708373436,33928.55342034676,Rentabilidad Promedio
Casa en Venta en Chapalita - San Bernardino 683,"Superficie: 125.0m², Construcción: 170.0m², Recámaras: 5.0, Baños: 2.0, Estacionamientos: 1.0",5998000.0,chapalita guadalajara,170.0,35282.35294117647,33928.55342034676,Rentabilidad Promedio
Casa en Venta en Jardines de Los Arcos,"Superficie: 270.0m², Construcción: 300.0m², Recámaras: 4.0, Baños: 2.0, Estacionamientos: 3.0",7990000.0,chapalita guadalajara,300.0,26633.333333333332,33928.55342034676,Muy Alta Rentabilidad
CASA EN VENTA EN CHAPALITA GUADALAJARA JALISCO,"Superficie: 488.0m², Construcción: 370.0m², Recámaras: 4.0, Baños: 5.0, Estacionamientos: 3.0",13495000.0,chapalita guadalajara,370.0,36472.97297297297,33928.55342034676,Baja Rentabilidad
"Casa en Venta Colonia Chapalita, Guadalajara,Jal.","Superficie: 231.32m², Construcción: 293.0m², Recámaras: 7.0, Baños: 3.0, Estacionamientos: 1.0",7500000.0,chapalita guadalajara,293.0,25597.26962457338,33928.55342034676,Muy Alta Rentabilidad
Casa en Venta en Chapalita - Arquitectos Sur 1264,"Superficie: 208.0m², Construcción: 380.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 2.0",12900000.0,chapalita occidente zapopan,380.0,33947.36842105263,33579.51885524089,Rentabilidad Promedio
Casa en Venta en Chapalita de Occidente,"Superficie: 355.0m², Construcción: 376.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 4.0",8950000.0,chapalita occidente zapopan,376.0,23803.191489361703,33579.51885524089,Muy Alta Rentabilidad
"Casa Estilo Japonés en Chapalita de Occidente, Guadalajara                       $12,350,000","Superficie: 210.0m², Construcción: 400.0m², Recámaras: 3.0, Baños: 3.0, Estacionamientos: 2.0",12350000.0,chapalita occidente zapopan,400.0,30875.0,33579.51885524089,Alta Rentabilidad
REMODELADA Y ESTILO UNICO CASA EN VENTA CHAPALITA DE OCCIDENTE,"Superficie: 201.0m², Construcción: 335.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 2.0",12080000.0,chapalita occidente zapopan,335.0,36059.701492537315,33579.51885524089,Baja Rentabilidad
Casa en venta Residencial Chapalita,"Superficie: 510.18m², Construcción: 508.0m², Recámaras: 5.0, Baños: 3.0, Estacionamientos: 8.0",19500000.0,chapalita occidente zapopan,508.0,38385.82677165354,33579.51885524089,Baja Rentabilidad
"CASA EN VENTA CHAPALITA OCCIDENTE $12’820,000 pesos.","Superficie: 360.0m², Construcción: 344.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 6.0",12820000.0,chapalita occidente zapopan,344.0,37267.441860465115,33579.51885524089,Baja Rentabilidad
Casa de lujo en venta en Chapalita de Occidente Zapopan,"Superficie: 201.0m², Construcción: 335.0m², Recámaras: 3.0, Baños: 3.0, Estacionamientos: 2.0",12100000.0,chapalita occidente zapopan,335.0,36119.40298507463,33579.51885524089,Baja Rentabilidad
Casa en venta en Chapalita de Occidente,"Superficie: 189.0m², Construcción: 303.0m², Recámaras: 5.0, Baños: 4.0, Estacionamientos: 2.0",9750000.0,chapalita occidente zapopan,303.0,32178.21782178218,33579.51885524089,Rentabilidad Promedio
CASA EN VENTA EN CHAPALITA EN ZAPOPAN,"Superficie: 1042.0m², Construcción: 776.0m², Recámaras: 6.0, Baños: 5.0, Estacionamientos: 6.0",32000000.0,chapalita oriente zapopan,776.0,41237.113402061856,62360.25832365913,Muy Alta Rentabilidad
"EXCELENTE CASA EN VENTA, SAN AGUSTIN, CHAPALITA ORIENTE, ZAPOPAN, JALISCO.","Superficie: 342.0m², Construcción: 420.0m², Recámaras: 7.0, Baños: 5.0, Estacionamientos: 0.0",9900000.0,chapalita oriente zapopan,420.0,23571.428571428572,62360.25832365913,Muy Alta Rentabilidad
Hermosa Casa en Venta en Parque Juan Diego Col. Chapalita,"Superficie: 1276.0m², Construcción: 461.83m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 8.0",46000000.0,chapalita oriente zapopan,461.83,99603.7502977286,62360.25832365913,Muy Baja Rentabilidad
Terreno en Venta Chapalita Zapopan,"Superficie: 1500.0m², Construcción: 700.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 6.0",30000000.0,chapalita oriente zapopan,700.0,42857.142857142855,62360.25832365913,Muy Alta Rentabilidad
Casa en Venta en Av. Parque Juan Diego,"Superficie: 832.0m², Construcción: 280.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 4.0",38000000.0,chapalita oriente zapopan,280.0,135714.2857142857,62360.25832365913,Muy Baja Rentabilidad
"Casa Tulipán en venta, Ciudad de los niños.","Superficie: 417.0m², Construcción: 433.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 4.0",13500000.0,chapalita oriente zapopan,433.0,31177.82909930716,62360.25832365913,Muy Alta Rentabilidad
¡Casa en Venta en Chapalita! Amplio Jardín y Ubicación Inmejorable,"Superficie: 378.0m², Construcción: 368.0m², Recámaras: 3.0, Baños: 3.0, Estacionamientos: 2.0",11500000.0,chapalita sur zapopan,368.0,31250.0,33912.381601716974,Alta Rentabilidad
Casa en venta Chapalita,"Superficie: 201.6m², Construcción: 335.7m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 2.0",12100000.0,chapalita sur zapopan,335.7,36044.086982424786,33912.381601716974,Baja Rentabilidad
"SE VENDE CASA EN CHAPALITA SUR, ZAPOPAN","Superficie: 1748.0m², Construcción: 1462.0m², Recámaras: 7.0, Baños: 7.0, Estacionamientos: 8.0",34000000.0,chapalita sur zapopan,1462.0,23255.81395348837,33912.381601716974,Muy Alta Rentabilidad
"CASA EN VENTA EN CHAPALITA SUR, ZAPOPAN, JALISCO.","Superficie: 201.0m², Construcción: 370.0m², Recámaras: 3.0, Baños: 3.0, Estacionamientos: 2.0",12900000.0,chapalita sur zapopan,370.0,34864.86486486487,33912.381601716974,Rentabilidad Promedio
CASA EN VENTA COLONIA CHAPALITA,"Superficie: 632.0m², Construcción: 600.0m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 5.0",23500000.0,chapalita sur zapopan,600.0,39166.666666666664,33912.381601716974,Baja Rentabilidad
Casa de lujo en venta Chapalita a una cuadra del Riu y Lázaro Cárdenas,"Superficie: 171.0m², Construcción: 280.0m², Recámaras: 3.0, Baños: 3.0, Estacionamientos: 4.0",10890000.0,chapalita sur zapopan,280.0,38892.857142857145,33912.381601716974,Baja Rentabilidad
"Casa en Venta en CHAPALITA Hermosa, Segura y Confortable","Superficie: 1049.0m², Construcción: 500.0m², Recámaras: 7.0, Baños: 6.0, Estacionamientos: 7.0",44764093.0,chapalita zapopan,500.0,89528.186,70940.65469131719,Muy Baja Rentabilidad
CASA EN VENTA EN CHAPALITA TOTALMENTE REMODELADA,"Superficie: 170.0m², Construcción: 279.0m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 4.0",10890000.0,chapalita zapopan,279.0,39032.25806451613,70940.65469131719,Muy Alta Rentabilidad
Casa en venta en Chapalita,"Superficie: 321.0m², Construcción: 316.0m², Recámaras: 5.0, Baños: 2.0, Estacionamientos: 3.0",8300000.0,chapalita zapopan,316.0,26265.822784810127,70940.65469131719,Muy Alta Rentabilidad
Casa en Venta en CHAPALITA Hermosa Cocina y Vestidores Amplios,"Superficie: 520.0m², Construcción: 420.0m², Recámaras: 7.0, Baños: 6.0, Estacionamientos: 7.0",26493640.0,chapalita zapopan,420.0,63080.09523809524,70940.65469131719,Alta Rentabilidad
CASA EN VENTA CHAPALITA 1 SOLA PLANTA,"Superficie: 243.0m², Construcción: 200.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 2.0",7350000.0,chapalita zapopan,200.0,36750.0,70940.65469131719,Muy Alta Rentabilidad
Casa en Chapalita 2 Niveles,"Superficie: 542.0m², Construcción: 495.0m², Recámaras: 5.0, Baños: 4.0, Estacionamientos: 4.0",17000000.0,chapalita zapopan,495.0,34343.43434343435,70940.65469131719,Muy Alta Rentabilidad
Casa en Venta en CHAPALITA Diseño Moderno Que Genera Plusvalía,"Superficie: 827.0m², Construcción: 400.0m², Recámaras: 7.0, Baños: 6.0, Estacionamientos: 7.0",35446496.0,chapalita zapopan,400.0,88616.24,70940.65469131719,Muy Baja Rentabilidad
Casa en Venta en CHAPALITA Increíble Diseño y Amplitud,"Superficie: 903.0m², Construcción: 350.0m², Recámaras: 7.0, Baños: 6.0, Estacionamientos: 7.0",36532490.0,chapalita zapopan,350.0,104378.54285714286,70940.65469131719,Muy Baja Rentabilidad
Santa Rita No. 1095 esq. Parque Juan Diego,"Superficie: 507.0m², Construcción: 329.0m², Recámaras: 5.0, Baños: 3.0, Estacionamientos: 3.0",20000000.0,chapalita zapopan,329.0,60790.273556231004,70940.65469131719,Alta Rentabilidad
Casa en Venta en CHAPALITA Hermosa Cocina y Vestidores Amplios,"Superficie: 1068.0m², Construcción: 450.0m², Recámaras: 7.0, Baños: 6.0, Estacionamientos: 7.0",44098476.0,chapalita zapopan,450.0,97996.61333333333,70940.65469131719,Muy Baja Rentabilidad
Casa en Venta en CHAPALITA Acabados Modernos y Alta Calidad,"Superficie: 899.0m², Construcción: 320.0m², Recámaras: 7.0, Baños: 6.0, Estacionamientos: 7.0",35656079.0,chapalita zapopan,320.0,111425.246875,70940.65469131719,Muy Baja Rentabilidad
Casa en Venta en CHAPALITA Hermosa Cocina y Vestidores Amplios,"Superficie: 891.0m², Construcción: 370.0m², Recámaras: 7.0, Baños: 6.0, Estacionamientos: 7.0",36660023.0,chapalita zapopan,370.0,99081.14324324325,70940.65469131719,Muy Baja Rentabilidad
Casa en Venta en La Cima,"Superficie: 140.0m², Construcción: 277.0m², Recámaras: 3.0, Baños: 2.0, Estacionamientos: 2.0",7990000.0,cima zapopan,277.0,28844.76534296029,32815.109455555656,Alta Rentabilidad
Casa en La Cima ! Espectacular proyecto,"Superficie: 140.0m², Construcción: 173.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 0.0",7485000.0,cima zapopan,173.0,43265.89595375722,32815.109455555656,Muy Baja Rentabilidad
"CASA 55 - F EN VENTA EN LA CIMA ZAPOPAN, CON ACABADOS RESIDENCIALES","Superficie: 164.0m², Construcción: 213.0m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 2.0",8200000.0,cima zapopan,213.0,38497.65258215962,32815.109455555656,Baja Rentabilidad
RESIDENCIA EN VENTA EN LA CIMA DE ZAPOPAN,"Superficie: 160.0m², Construcción: 235.0m², Recámaras: 3.0, Baños: 3.0, Estacionamientos: 2.0",7300000.0,cima zapopan,235.0,31063.82978723404,32815.109455555656,Alta Rentabilidad
"Casa 26-G con SOTANO y ALBERCA, en el fraccionamiento la cima","Superficie: 140.0m², Construcción: 318.0m², Recámaras: 5.0, Baños: 5.0, Estacionamientos: 3.0",11500000.0,cima zapopan,318.0,36163.522012578615,32815.109455555656,Baja Rentabilidad
Casa con terraza y estudio en coto C de la Cima,"Superficie: 140.0m², Construcción: 187.0m², Recámaras: 3.0, Baños: 3.0, Estacionamientos: 2.0",5750000.0,cima zapopan,187.0,30748.663101604277,32815.109455555656,Alta Rentabilidad
Casa Nueva 43-G con roof garden en la cima,"Superficie: 146.0m², Construcción: 265.0m², Recámaras: 4.0, Baños: 5.0, Estacionamientos: 3.0",8800000.0,cima zapopan,265.0,33207.54716981132,32815.109455555656,Rentabilidad Promedio
"CASA 66 - C, NUEVA EN VENTA UBICADA EN LA CIMA ZAPOPAN","Superficie: 140.0m², Construcción: 215.0m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 2.0",8100000.0,cima zapopan,215.0,37674.41860465116,32815.109455555656,Baja Rentabilidad
CASA VENTA EN LA CIMA,"Superficie: 14.0m², Construcción: 300.0m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 3.0",6500000.0,cima zapopan,300.0,21666.666666666668,32815.109455555656,Muy Alta Rentabilidad
CASA 110-H NUEVA CON ROOF EN LA CIMA ZAPOPAN,"Superficie: 140.0m², Construcción: 245.0m², Recámaras: 4.0, Baños: 5.0, Estacionamientos: 2.0",9500000.0,cima zapopan,245.0,38775.510204081635,32815.109455555656,Baja Rentabilidad
,"Superficie: 140.0m², Construcción: 235.0m², Recámaras: 3.0, Baños: 4.0, Estacionamientos: 2.0",7300000.0,cima zapopan,235.0,31063.82978723404,32815.109455555656,Alta Rentabilidad
CASA 94-G LA CIMA DE ZAPOPAN. CON ROOF 3 NIVELES,"Superficie: 140.0m², Construcción: 215.0m², Recámaras: 4.0, Baños: 5.0, Estacionamientos: 2.0",8600000.0,cima zapopan,215.0,40000.0,32815.109455555656,Muy Baja Rentabilidad
"Casa en La Cima , de lujo!","Superficie: 157.5m², Construcción: 300.0m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 3.0",9500000.0,cima zapopan,300.0,31666.666666666668,32815.109455555656,Rentabilidad Promedio
"Casa en Venta, La cima Nuevo México.","Superficie: 145.0m², Construcción: 300.0m², Recámaras: 4.0, Baños: 5.0, Estacionamientos: 2.0",9400000.0,cima zapopan,300.0,31333.333333333332,32815.109455555656,Rentabilidad Promedio
CASA 35-F CON ACABADOS RESIDENCIALES UBICADA EN LA CIMA ZAPOPAN,"Superficie: 144.0m², Construcción: 210.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 0.0",8000000.0,cima zapopan,210.0,38095.23809523809,32815.109455555656,Baja Rentabilidad
"Casa en venta en La Cima, Zapopan.","Superficie: 180.0m², Construcción: 232.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 2.0",6480000.0,cima zapopan,232.0,27931.03448275862,32815.109455555656,Alta Rentabilidad
Casa en Venta en La Cima - Coto K 82,"Superficie: 140.0m², Construcción: 285.0m², Recámaras: 5.0, Baños: 5.0, Estacionamientos: 3.0",7500000.0,cima zapopan,285.0,26315.78947368421,32815.109455555656,Alta Rentabilidad
,"Superficie: 211.0m², Construcción: 300.0m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 2.0",10800000.0,cima zapopan,300.0,36000.0,32815.109455555656,Baja Rentabilidad
"Casa en la Cima, súper amplia!","Superficie: 201.0m², Construcción: 300.0m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 4.0",9600000.0,cima zapopan,300.0,32000.0,32815.109455555656,Rentabilidad Promedio
¡Conoce tu nueva casa en la Cima de Zapopan con roof garden!,"Superficie: 145.65m², Construcción: 300.0m², Recámaras: 5.0, Baños: 4.0, Estacionamientos: 2.0",7750000.0,cima zapopan,300.0,25833.333333333332,32815.109455555656,Muy Alta Rentabilidad
"Casa en la Cima, estrena","Superficie: 140.0m², Construcción: 225.0m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 3.0",7395000.0,cima zapopan,225.0,32866.666666666664,32815.109455555656,Rentabilidad Promedio
"Casa 4 recámaras la Cima de Zapopan $6,900,000","Superficie: 140.0m², Construcción: 280.0m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 2.0",6900000.0,cima zapopan,280.0,24642.85714285714,32815.109455555656,Muy Alta Rentabilidad
Casa en venta de Lujo en La Cima Nuevo México,"Superficie: 280.0m², Construcción: 411.24m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 4.0",12950000.0,cima zapopan,411.24,31490.12741951172,32815.109455555656,Rentabilidad Promedio
Casa venta La Cima Coto C,"Superficie: 143.0m², Construcción: 235.0m², Recámaras: 4.0, Baños: 5.0, Estacionamientos: 2.0",7900000.0,cima zapopan,235.0,33617.02127659575,32815.109455555656,Rentabilidad Promedio
CASA EN VENTA EN LA CIMA,"Superficie: 156.0m², Construcción: 184.0m², Recámaras: 3.0, Baños: 3.0, Estacionamientos: 3.0",8300000.0,cima zapopan,184.0,45108.69565217391,32815.109455555656,Muy Baja Rentabilidad
Venta de Casa La Cima Zapopan,"Superficie: 171.0m², Construcción: 200.0m², Recámaras: 3.0, Baños: 2.0, Estacionamientos: 2.0",5790000.0,cima zapopan,200.0,28950.0,32815.109455555656,Alta Rentabilidad
Casa en Venta en La Cima - Coto G 247,"Superficie: 140.0m², Construcción: 192.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 3.0",6750000.0,cima zapopan,192.0,35156.25,32815.109455555656,Baja Rentabilidad
"CASA  EN VENTA EN LA CIMA, ZAPOPAN","Superficie: 180.0m², Construcción: 320.0m², Recámaras: 4.0, Baños: 5.0, Estacionamientos: 3.0",8590000.0,cima zapopan,320.0,26843.75,32815.109455555656,Alta Rentabilidad
Casa en venta Ciudad Granja coto la Toscana Zapopan Jalisco,"Superficie: 140.0m², Construcción: 149.0m², Recámaras: 0.0, Baños: 2.0, Estacionamientos: 3.0",6250000.0,ciudad granja zapopan,149.0,41946.30872483221,41673.737856033185,Rentabilidad Promedio
Casa en Venta en CIUDAD GRANJA Hermosa Cocina y Vestidores Amplios,"Superficie: 247.0m², Construcción: 450.0m², Recámaras: 5.0, Baños: 5.0, Estacionamientos: 4.0",19501035.0,ciudad granja zapopan,450.0,43335.63333333333,41673.737856033185,Rentabilidad Promedio
"Propiedad mixta en venta con casa, locales y departamentos rentados en Cd Granja","Superficie: 314.0m², Construcción: 272.0m², Recámaras: 6.0, Baños: 5.0, Estacionamientos: 1.0",14100000.0,ciudad granja zapopan,272.0,51838.23529411765,41673.737856033185,Muy Baja Rentabilidad
CASA COTO TAURO CIUDAD GRANJA,"Superficie: 147.0m², Construcción: 197.0m², Recámaras: 3.0, Baños: 3.0, Estacionamientos: 2.0",7400000.0,ciudad granja zapopan,197.0,37563.451776649745,41673.737856033185,Alta Rentabilidad
"VENTA DE CASA EN CIUDAD GRANJA, COTO FAZENDA","Superficie: 110.0m², Construcción: 154.0m², Recámaras: 3.0, Baños: 4.0, Estacionamientos: 2.0",6500000.0,ciudad granja zapopan,154.0,42207.792207792205,41673.737856033185,Rentabilidad Promedio
"Las Nubes, Coto residencial tradicional en Ciudad Granja, 3 recámaras.","Superficie: 117.0m², Construcción: 180.0m², Recámaras: 3.0, Baños: 2.0, Estacionamientos: 2.0",5259999.0,ciudad granja zapopan,180.0,29222.216666666667,41673.737856033185,Muy Alta Rentabilidad
Casa Metropolitano y Universidad Panamericana,"Superficie: 247.0m², Construcción: 430.0m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 2.0",10990000.0,ciudad granja zapopan,430.0,25558.13953488372,41673.737856033185,Muy Alta Rentabilidad
,"Superficie: 89.0m², Construcción: 111.0m², Recámaras: 2.0, Baños: 2.0, Estacionamientos: 2.0",4950000.0,ciudad granja zapopan,111.0,44594.59459459459,41673.737856033185,Baja Rentabilidad
Casa en Venta en CIUDAD GRANJA Increíble Diseño y Amplitud,"Superficie: 354.0m², Construcción: 350.0m², Recámaras: 6.0, Baños: 5.0, Estacionamientos: 6.0",20579044.0,ciudad granja zapopan,350.0,58797.26857142857,41673.737856033185,Muy Baja Rentabilidad
Casa en venta sobre Avenida Guadalupe,"Superficie: 311.0m², Construcción: 325.0m², Recámaras: 4.0, Baños: 5.0, Estacionamientos: 2.0",10800000.0,ciudad nios zapopan,325.0,33230.769230769234,43188.18182697318,Muy Alta Rentabilidad
CASA EN VENTA,"Superficie: 313.0m², Construcción: 385.0m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 4.0",12000000.0,ciudad nios zapopan,385.0,31168.83116883117,43188.18182697318,Muy Alta Rentabilidad
Casa en venta Ciudad de los niños,"Superficie: 327.0m², Construcción: 295.0m², Recámaras: 6.0, Baños: 4.0, Estacionamientos: 4.0",10500000.0,ciudad nios zapopan,295.0,35593.220338983054,43188.18182697318,Alta Rentabilidad
